iter	Passed	Remaining
616	2908	10340
617	2912	10336
618	2916	10329
619	2920	10321
620	2923	10310
621	2926	10299
622	2930	10290
623	2933	10281
624	2936	10270
625	2938	10257
626	2941	10245
627	2944	10233
628	2947	10224
629	2950	10213
630	2952	10199
631	2954	10186
632	2956	10174
633	2959	10162
634	2962	10150
635	2964	10137
636	2966	10123
637	2968	10109
638	2970	10096
639	2972	10082
640	2974	10068
641	2976	10057
642	2979	10044
643	2981	10031
644	2983	10018
645	2985	10005
646	2987	9992
647	2989	9979
648	2992	9968
649	2994	9956
650	2996	9943
651	2999	9931
652	3001	9918
653	3003	9904
654	3004	9890
655	3007	9878
656	3009	9867
657	3012	9855
658	3013	9842
659	3015	9829
660	3018	9816
661	3019	9803
662	3022	9791
663	3024	9780
664	3027	9769
665	3029	9758
666	3032	9747
667	3034	9734
668	3036	9723
669	3038	9710
670	3041	9701
671	3044	9689
672	3046	9677
673	3048	9664
674	3050	9652
675	3052	9640
676	3054	9629
677	3058	9621
678	3060	9609
679	3062	9597
680	3064	9584
681	3066	9571
682	3068	9559
683	3070	9548
684	3081	9564
685	3083	9552
686	3086	9541
687	3088	9530
688	3091	9520
689	3093	9509
690	3095	9498
691	3097	9486
692	3099	9473
693	3102	9462
694	3104	9452
695	3107	9441
696	3108	9429
697	3110	9417
698	3112	9404
699	3114	9393
700	3116	9380
701	3118	9369
702	3121	9359
703	3123	9348
704	3143	9390
705	3147	9384
706	3150	9376
707	3154	9370
708	3158	9362
709	3161	9354
710	3164	9345
711	3167	9336
712	3170	9328
713	3173	9320
714	3176	9310
715	3178	9300
716	3181	9290
717	3183	9280
718	3186	9271
719	3189	9262
720	3193	9257
721	3196	9247
722	3197	9235
723	3200	9225
724	3202	9215
725	3205	9204
726	3206	9192
727	3208	9181
728	3210	9170
729	3212	9158
730	3214	9147
731	3217	9138
732	3219	9128
733	3221	9116
734	3223	9105
735	3226	9095
736	3228	9084
737	3230	9074
738	3232	9064
739	3235	9054
740	3237	9044
741	3239	9033
742	3241	9022
743	3243	9011
744	3245	8999
745	3247	8988
746	3249	8978
747	3251	8968
748	3253	8957
749	3255	8946
750	3257	8936
751	3259	8924
752	3261	8914
753	3264	8904
754	3278	8927
755	3282	8922
756	3285	8914
757	3288	8906
758	3291	8898
759	3294	8889
760	3297	8882
761	3300	8873
762	3308	8880
763	3311	8873
764	3315	8868
765	3319	8860
766	3322	8855
767	3326	8847
768	3329	8841
769	3333	8834
770	3354	8875
771	3359	8872
772	3366	8874
773	3370	8871
774	3375	8867
775	3381	8867
776	3386	8866
777	3392	8865
778	3400	8869
779	3405	8868
780	3410	8864
781	3416	8863
782	3420	8859
783	3423	8852
784	3428	8848
785	3445	8875
786	3448	8867
787	3450	8859
788	3453	8850
789	3456	8841
790	3459	8834
791	3462	8825
792	3464	8816
793	3466	8806
794	3469	8797
795	3471	8787
796	3474	8780
797	3477	8771
798	3479	8762
799	3482	8753
800	3485	8745
801	3487	8737
802	3504	8764
803	3508	8756
804	3510	8747
805	3513	8739
806	3515	8729
807	3517	8720
808	3520	8711
809	3522	8702
810	3525	8694
811	3527	8684
812	3530	8676
813	3532	8666
814	3536	8661
815	3539	8652
816	3564	8700
817	3567	8692
818	3569	8682
819	3574	8678
820	3576	8669
821	3579	8660
822	3581	8651
823	3584	8642
824	3586	8633
825	3589	8626
826	3594	8623
827	3597	8614
828	3599	8606
829	3602	8597
830	3604	8589
831	3607	8581
832	3610	8573
833	3612	8564
834	3615	8556
835	3624	8562
836	3626	8553
837	3629	8544
838	3631	8535
839	3634	8528
840	3638	8523
841	3642	8517
842	3644	8509
843	3649	8504
844	3653	8500
845	3658	8498
846	3662	8491
847	3664	8483
848	3667	8476
849	3675	8478
850	3677	8470
851	3680	8461
852	3683	8455
853	3686	8448
854	3689	8441
855	3693	8435
856	3701	8438
857	3704	8433
858	3716	8444
859	3719	8438
860	3723	8432
861	3726	8426
862	3729	8417
863	3732	8409
864	3747	8431
865	3763	8451
866	3765	8443
867	3768	8436
868	3771	8427
869	3774	8419
870	3776	8411
871	3778	8402
872	3783	8398
873	3785	8390
874	3788	8381
875	3790	8373
876	3793	8365
877	3795	8356
878	3799	8350
879	3801	8341
880	3803	8333
881	3822	8360
882	3825	8353
883	3828	8346
884	3832	8339
885	3834	8331
886	3837	8323
887	3839	8315
888	3842	8307
889	3844	8299
890	3847	8290
891	3849	8281
892	3852	8273
893	3854	8265
894	3868	8281
895	3870	8273
896	3873	8264
897	3875	8255
898	3876	8245
899	3879	8237
900	3882	8229
901	3884	8220
902	3886	8211
903	3888	8202
904	3890	8193
905	3892	8184
906	3895	8176
907	3899	8171
908	3901	8162
909	3902	8153
910	3904	8144
911	3907	8135
912	3909	8127
913	3912	8120
914	3915	8112
915	3917	8104
916	3919	8095
917	3929	8103
918	3932	8095
919	3934	8087
920	3937	8079
921	3940	8072
922	3942	8064
923	3965	8097
924	3970	8096
925	3975	8093
926	3981	8091
927	3986	8088
928	3990	8084
929	3995	8081
930	3999	8076
931	4003	8071
932	4006	8064
933	4010	8058
934	4013	8052
935	4016	8045
936	4019	8038
937	4021	8030
938	4024	8024
939	4027	8016
940	4029	8008
941	4032	7999
942	4034	7992
943	4037	7984
944	4039	7975
945	4041	7968
946	4044	7960
947	4046	7951
948	4048	7943
949	4050	7934
950	4052	7925
951	4054	7917
952	4057	7910
953	4059	7902
954	4064	7899
955	4067	7891
956	4069	7883
957	4080	7891
958	4083	7885
959	4085	7877
960	4088	7871
961	4091	7864
962	4094	7857
963	4097	7851
964	4100	7844
965	4102	7835
966	4105	7829
967	4108	7822
968	4111	7815
969	4113	7807
970	4116	7799
971	4118	7791
972	4121	7785
973	4123	7777
974	4126	7770
975	4129	7763
976	4131	7755
977	4133	7747
978	4135	7739
979	4140	7736
980	4142	7728
981	4144	7719
982	4147	7712
983	4149	7703
984	4151	7695
985	4154	7689
986	4156	7681
987	4159	7674
988	4161	7666
989	4163	7657
990	4165	7649
991	4167	7641
992	4170	7634
993	4172	7627
994	4175	7620
995	4177	7612
996	4179	7603
997	4181	7595
998	4183	7587
999	4201	7608
1000	4205	7604
1001	4209	7599
1002	4213	7594
1003	4217	7590
1004	4221	7585
1005	4224	7579
1006	4227	7573
1007	4231	7568
1008	4234	7562
1009	4237	7555
1010	4239	7548
1011	4242	7541
1012	4245	7534
1013	4247	7527
1014	4250	7520
1015	4253	7513
1016	4255	7506
1017	4258	7499
1018	4260	7492
1019	4262	7484
1020	4264	7476
1021	4276	7485
1022	4279	7479
1023	4282	7474
1024	4292	7479
1025	4307	7493
1026	4312	7491
1027	4321	7495
1028	4337	7511
1029	4341	7507
1030	4346	7504
1031	4352	7503
1032	4358	7501
1033	4364	7500
1034	4369	7497
1035	4374	7494
1036	4379	7492
1037	4385	7490
1038	4399	7503
1039	4405	7501
1040	4416	7508
1041	4422	7507
1042	4430	7509
1043	4435	7507
1044	4440	7504
1045	4446	7502
1046	4450	7498
1047	4456	7496
1048	4462	7495
1049	4476	7507
1050	4482	7505
1051	4487	7503
1052	4493	7501
1053	4498	7499
1054	4503	7496
1055	4508	7493
1056	4517	7496
1057	4522	7493
1058	4528	7491
1059	4533	7489
1060	4538	7486
1061	4543	7482
1062	4549	7481
1063	4555	7479
1064	4559	7475
1065	4564	7471
1066	4568	7466
1067	4572	7462
1068	4575	7456
1069	4579	7451
1070	4582	7445
1071	4585	7438
1072	4588	7431
1073	4590	7424
1074	4592	7416
1075	4594	7408
